team,total_matches,win_rate,draw_rate,loss_rate,avg_goals_for,avg_goals_against,avg_goal_diff,best_stage,num_tournaments,goals_per_tournament,cluster,silhouette_val,dist_centroid
Algeria,13,0.23076923076923078,0.23076923076923078,0.5384615384615384,1.0,1.4615384615384615,-0.46153846153846156,2,4,3.25,2,0.5546538513598943,0.44299506690390167
Angola,3,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.3333333333333333,1,1,1.0,2,0.37379014811667144,3.6130632033183097
Argentina,88,0.5340909090909091,0.19318181818181818,0.2727272727272727,1.7272727272727273,1.1477272727272727,0.5795454545454546,6,18,8.444444444444445,1,0.5282021810671083,2.18209529386179
Australia,20,0.2,0.2,0.6,0.85,1.85,-1.0,2,6,2.8333333333333335,2,0.456773790796782,0.996469012241239
Austria,29,0.41379310344827586,0.13793103448275862,0.4482758620689655,1.4827586206896552,1.6206896551724137,-0.13793103448275862,5,7,6.142857142857143,1,0.22993230762944109,1.7026711158973522
Belgium,51,0.4117647058823529,0.19607843137254902,0.39215686274509803,1.3529411764705883,1.4509803921568627,-0.09803921568627451,5,14,4.928571428571429,1,0.40370020527274114,1.3012347112098812
Bolivia,6,0.0,0.16666666666666666,0.8333333333333334,0.16666666666666666,3.3333333333333335,-3.1666666666666665,1,3,0.3333333333333333,0,0.46202051130205446,1.3306403369307653
Bosnia And Herzegovina,3,0.3333333333333333,0.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.0,1,1,4.0,2,0.31024518447145455,2.530835294133625
Brazil,114,0.6666666666666666,0.16666666666666666,0.16666666666666666,2.0789473684210527,0.9473684210526315,1.131578947368421,6,22,10.772727272727273,1,0.4312250086550068,4.053954997756102
Bulgaria,26,0.11538461538461539,0.3076923076923077,0.5769230769230769,0.8461538461538461,2.0384615384615383,-1.1923076923076923,5,7,3.142857142857143,2,0.3368881588200029,1.9603135142501664
Cameroon,26,0.19230769230769232,0.3076923076923077,0.5,0.8461538461538461,1.8076923076923077,-0.9615384615384616,3,8,2.75,2,0.44936783073488396,1.1752257441250915
Canada,6,0.0,0.0,1.0,0.3333333333333333,2.0,-1.6666666666666667,1,2,1.0,0,0.42507708313990417,1.7373692567801262
Chile,33,0.3333333333333333,0.21212121212121213,0.45454545454545453,1.2121212121212122,1.4848484848484849,-0.2727272727272727,5,9,4.444444444444445,1,0.06960844978113274,1.957085599116185
China Pr,3,0.0,0.0,1.0,0.0,3.0,-3.0,1,1,0.0,0,0.5777814995514776,1.0150045895943054
Colombia,22,0.4090909090909091,0.13636363636363635,0.45454545454545453,1.4545454545454546,1.3636363636363635,0.09090909090909091,3,6,5.333333333333333,2,0.09505385736291393,2.056405296301962
Costa Rica,21,0.2857142857142857,0.23809523809523808,0.47619047619047616,1.0476190476190477,1.8571428571428572,-0.8095238095238095,3,6,3.6666666666666665,2,0.44303680687031655,0.8886555114840455
Croatia,30,0.43333333333333335,0.26666666666666666,0.3,1.4333333333333333,1.1,0.3333333333333333,6,6,7.166666666666667,1,0.3306497304640951,1.6419003962187746
Cuba,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667,4.0,-2.3333333333333335,3,1,5.0,2,0.21476894210535488,3.491697896909029
Czech Republic,3,0.3333333333333333,0.0,0.6666666666666666,1.0,1.3333333333333333,-0.3333333333333333,1,1,3.0,2,0.2659614227957216,2.388192488169674
Czechoslovakia,30,0.36666666666666664,0.16666666666666666,0.4666666666666667,1.4666666666666666,1.5,-0.03333333333333333,6,8,5.5,1,0.27051177308749796,1.688655409632236
Côte D'Ivoire,9,0.3333333333333333,0.1111111111111111,0.5555555555555556,1.4444444444444444,1.5555555555555556,-0.1111111111111111,1,3,4.333333333333333,2,0.40771839787837,1.83284609995211
Denmark,23,0.391304347826087,0.2608695652173913,0.34782608695652173,1.3478260869565217,1.2608695652173914,0.08695652173913043,3,6,5.166666666666667,2,0.15886941530652832,1.7744681509440812
Dutch East Indies,1,0.0,0.0,1.0,0.0,6.0,-6.0,2,1,0.0,0,0.4337204981059221,3.8793243904669272
Ecuador,13,0.38461538461538464,0.15384615384615385,0.46153846153846156,1.0769230769230769,1.0769230769230769,0.0,2,4,3.5,2,0.4148511003659011,1.4529609732187367
Egypt,7,0.0,0.2857142857142857,0.7142857142857143,0.7142857142857143,1.7142857142857142,-1.0,2,3,1.6666666666666667,2,0.28293470497929896,1.7714098411969708
El Salvador,6,0.0,0.0,1.0,0.16666666666666666,3.6666666666666665,-3.5,1,2,0.5,0,0.6102640901016329,0.8860440176316369
England,74,0.43243243243243246,0.2972972972972973,0.2702702702702703,1.4054054054054055,0.918918918918919,0.4864864864864865,6,16,6.5,1,0.5027957332259815,1.6978896757137367
Fr Yugoslavia,4,0.5,0.25,0.25,1.25,1.0,0.25,2,1,5.0,2,0.28226097768209985,2.337881783113529
France,73,0.5342465753424658,0.1917808219178082,0.273972602739726,1.8630136986301369,1.1643835616438356,0.6986301369863014,6,16,8.5,1,0.5647575291098814,1.553992975351752
Germany,56,0.6607142857142857,0.125,0.21428571428571427,2.25,1.1964285714285714,1.0535714285714286,6,11,11.454545454545455,1,0.4948265499260277,2.3860722695002754
Germany Dr,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.0,2,1,5.0,2,0.43111171511247354,1.668663292564808
Ghana,15,0.3333333333333333,0.2,0.4666666666666667,1.2,1.5333333333333334,-0.3333333333333333,3,4,4.5,2,0.4012023491648055,1.137901391957826
Greece,10,0.2,0.2,0.6,0.5,2.0,-1.5,2,3,1.6666666666666667,2,0.26783044675948264,1.5353356535436005
Haiti,3,0.0,0.0,1.0,0.6666666666666666,4.666666666666667,-4.0,1,1,2.0,0,0.5502449670284555,1.7920441627784092
Honduras,9,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.5555555555555556,-1.2222222222222223,1,3,1.0,2,0.24216960004721713,2.2174367447754766
Hungary,32,0.46875,0.09375,0.4375,2.71875,1.78125,0.9375,6,9,9.666666666666666,1,0.39562446965309755,2.6227514781315286
Iceland,3,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667,-1.0,1,1,2.0,2,0.29758815351893836,1.9355161078928864
Ir Iran,18,0.16666666666666666,0.2222222222222222,0.6111111111111112,0.7222222222222222,1.7222222222222223,-1.0,1,6,2.1666666666666665,2,0.40737701959842654,1.2583652794569353
Iraq,3,0.0,0.0,1.0,0.3333333333333333,1.3333333333333333,-1.0,1,1,1.0,0,0.24313632255980044,2.5928525265591023
Israel,3,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,-0.6666666666666666,1,1,1.0,2,0.3647934013992689,3.5280327852684916
Italy,83,0.5421686746987951,0.25301204819277107,0.20481927710843373,1.5421686746987953,0.927710843373494,0.6144578313253012,6,18,7.111111111111111,1,0.5162117486491167,2.1260494568558994
Jamaica,3,0.3333333333333333,0.0,0.6666666666666666,1.0,3.0,-2.0,1,1,3.0,0,0.08823432316675246,2.5121510881403477
Japan,25,0.28,0.24,0.48,1.0,1.32,-0.32,2,7,3.5714285714285716,2,0.4433388222303985,0.963519200740781
Korea Dpr,7,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.8571428571428571,3.0,-2.142857142857143,3,2,3.0,0,0.06173411517452992,2.1371532555240353
Korea Republic,38,0.18421052631578946,0.2631578947368421,0.5526315789473685,1.0263157894736843,2.0526315789473686,-1.0263157894736843,5,11,3.5454545454545454,2,0.11295287885749915,2.4067896281961607
Kuwait,3,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,-1.3333333333333333,1,1,2.0,2,0.2311654134308017,2.0388522168686825
Mexico,60,0.2833333333333333,0.25,0.4666666666666667,1.0333333333333334,1.6833333333333333,-0.65,3,17,3.6470588235294117,1,0.08754603010733775,2.8918817308763947
Morocco,23,0.21739130434782608,0.30434782608695654,0.4782608695652174,0.8695652173913043,1.173913043478261,-0.30434782608695654,5,6,3.3333333333333335,2,0.29409897284768727,1.6907354609341587
Netherlands,55,0.5454545454545454,0.2545454545454545,0.2,1.7454545454545454,0.9454545454545454,0.8,6,11,8.727272727272727,1,0.546058418759559,1.1664008265736583
New Zealand,6,0.0,0.5,0.5,0.6666666666666666,2.3333333333333335,-1.6666666666666667,1,2,2.0,2,0.3024399025192842,2.5033046154726675
Nigeria,21,0.2857142857142857,0.14285714285714285,0.5714285714285714,1.0952380952380953,1.4285714285714286,-0.3333333333333333,2,6,3.8333333333333335,2,0.4334607196278708,1.2406614466315533
Northern Ireland,13,0.23076923076923078,0.38461538461538464,0.38461538461538464,1.0,1.7692307692307692,-0.7692307692307693,3,3,4.333333333333333,2,0.47460661522295405,1.0836202452682069
Norway,8,0.25,0.375,0.375,0.875,1.0,-0.125,2,3,2.3333333333333335,2,0.5103465965201458,1.2337828985616104
Panama,3,0.0,0.0,1.0,0.6666666666666666,3.6666666666666665,-3.0,1,1,2.0,0,0.6024600793134789,0.7489695855948199
Paraguay,27,0.25925925925925924,0.37037037037037035,0.37037037037037035,1.1111111111111112,1.4074074074074074,-0.2962962962962963,3,8,3.75,2,0.3218955159887983,1.436363789026612
Peru,18,0.2777777777777778,0.16666666666666666,0.5555555555555556,1.1666666666666667,1.8333333333333333,-0.6666666666666666,3,5,4.2,2,0.4208020898384609,1.1522152835331572
Poland,38,0.4473684210526316,0.15789473684210525,0.39473684210526316,1.2894736842105263,1.3157894736842106,-0.02631578947368421,5,9,5.444444444444445,1,0.31649739657627873,1.364149571150326
Portugal,35,0.4857142857142857,0.17142857142857143,0.34285714285714286,1.7428571428571429,1.1714285714285715,0.5714285714285714,5,8,7.625,1,0.45074110414067176,1.1038621574718188
Qatar,3,0.0,0.0,1.0,0.3333333333333333,2.3333333333333335,-2.0,1,1,1.0,0,0.5027796140282198,1.3073842467374004
Republic Of Ireland,13,0.15384615384615385,0.6153846153846154,0.23076923076923078,0.7692307692307693,0.7692307692307693,0.0,3,3,3.3333333333333335,2,0.34668741501862027,2.834919801520746
Romania,21,0.38095238095238093,0.23809523809523808,0.38095238095238093,1.4285714285714286,1.5238095238095237,-0.09523809523809523,3,7,4.285714285714286,2,0.20265717055737656,1.6532976281307712
Russia,14,0.2857142857142857,0.2857142857142857,0.42857142857142855,1.7142857142857142,1.4285714285714286,0.2857142857142857,3,4,6.0,2,0.20616429854960677,1.959623870924346
Saudi Arabia,19,0.21052631578947367,0.10526315789473684,0.6842105263157895,0.7368421052631579,2.3157894736842106,-1.5789473684210527,2,6,2.3333333333333335,2,0.13793387102715013,1.9394420360624933
Scotland,23,0.17391304347826086,0.30434782608695654,0.5217391304347826,1.0869565217391304,1.7826086956521738,-0.6956521739130435,1,8,3.125,2,0.4863011187148346,1.1995106976346146
Senegal,12,0.4166666666666667,0.25,0.3333333333333333,1.3333333333333333,1.4166666666666667,-0.08333333333333333,3,3,5.333333333333333,2,0.27324056054507173,1.7587493145229893
Serbia,9,0.2222222222222222,0.1111111111111111,0.6666666666666666,1.0,1.6666666666666667,-0.6666666666666666,1,3,3.0,2,0.3475456348398352,1.547194678958841
Serbia And Montenegro,3,0.0,0.0,1.0,0.6666666666666666,3.3333333333333335,-2.6666666666666665,1,1,2.0,0,0.5832670532115,0.6677297418440074
Slovakia,4,0.25,0.25,0.5,1.25,1.75,-0.5,2,1,5.0,2,0.49550015876456854,1.1617600269730486
Slovenia,6,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.8333333333333334,1.6666666666666667,-0.8333333333333334,1,2,2.5,2,0.32465484137501915,1.4492594150852667
South Africa,9,0.2222222222222222,0.4444444444444444,0.3333333333333333,1.2222222222222223,1.7777777777777777,-0.5555555555555556,1,3,3.6666666666666665,2,0.4771445955950718,1.6017022041352196
Soviet Union,31,0.4838709677419355,0.1935483870967742,0.3225806451612903,1.7096774193548387,1.096774193548387,0.6129032258064516,5,7,7.571428571428571,1,0.40685501269332686,1.345195797822889
Spain,67,0.4626865671641791,0.2537313432835821,0.2835820895522388,1.6119402985074627,1.1194029850746268,0.4925373134328358,6,16,6.75,1,0.5488487169538253,1.2774149846118756
Sweden,51,0.37254901960784315,0.2549019607843137,0.37254901960784315,1.5686274509803921,1.4313725490196079,0.13725490196078433,6,12,6.666666666666667,1,0.4936846068532818,0.8034578536702064
Switzerland,41,0.34146341463414637,0.1951219512195122,0.4634146341463415,1.3414634146341464,1.7804878048780488,-0.43902439024390244,3,12,4.583333333333333,1,0.031369072762951956,2.1571557434256268
Togo,3,0.0,0.0,1.0,0.3333333333333333,2.0,-1.6666666666666667,1,1,1.0,0,0.4329857917579439,1.7309724231504122
Trinidad And Tobago,3,0.0,0.3333333333333333,0.6666666666666666,0.0,1.3333333333333333,-1.3333333333333333,1,1,0.0,2,0.14013258718378388,2.8573009667650893
Tunisia,18,0.16666666666666666,0.2777777777777778,0.5555555555555556,0.7777777777777778,1.4444444444444444,-0.6666666666666666,1,6,2.3333333333333335,2,0.5016780610892514,1.0183813311864929
Türkiye,10,0.5,0.1,0.4,2.0,1.7,0.3,5,2,10.0,1,0.19744802557347949,3.027376913120493
Ukraine,5,0.4,0.2,0.4,1.0,1.4,-0.4,3,1,5.0,2,0.3936231245213422,1.595167582471381
United Arab Emirates,3,0.0,0.0,1.0,0.6666666666666666,3.6666666666666665,-3.0,1,1,2.0,0,0.6024600793134789,0.7489695855948199
United States,37,0.24324324324324326,0.21621621621621623,0.5405405405405406,1.0810810810810811,1.7837837837837838,-0.7027027027027027,4,11,3.6363636363636362,2,0.12538574814579692,2.0626363181563105
Uruguay,59,0.423728813559322,0.22033898305084745,0.3559322033898305,1.5084745762711864,1.2881355932203389,0.22033898305084745,6,14,6.357142857142857,1,0.5318634621244227,0.8564424846696851
Wales,8,0.125,0.5,0.375,0.625,1.25,-0.625,3,2,2.5,2,0.4766074960999206,1.9583423977283632
West Germany,56,0.5535714285714286,0.25,0.19642857142857142,1.8928571428571428,1.125,0.7678571428571429,6,9,11.777777777777779,1,0.4899624534315282,2.045691625200184
Yugoslavia,33,0.42424242424242425,0.21212121212121213,0.36363636363636365,1.6666666666666667,1.2727272727272727,0.3939393939393939,5,8,6.875,1,0.3937595480157762,1.143922921726962
Zaire,3,0.0,0.0,1.0,0.0,4.666666666666667,-4.666666666666667,1,1,0.0,0,0.5453243226344923,2.207617298113393
